doctor_id,max_air_rank_needed_for_road_top_5,road_top_5_available_within_air_top_10,road_top_5_available_within_air_top_20,road_top_5_available_within_air_top_30,road_top_5_available_within_air_top_50
C2-76,5,1,1,1,1
C2-87,5,1,1,1,1
C2-9,5,1,1,1,1
C2-91,6,1,1,1,1
C2-99,6,1,1,1,1
C4-100,39,0,0,0,1
C4-1098,5,1,1,1,1
C4-1107,5,1,1,1,1
C4-1116,14,0,1,1,1
C4-1135,6,1,1,1,1
C4-1143,5,1,1,1,1
C4-1182,6,1,1,1,1
C4-1187,6,1,1,1,1
C4-1202,6,1,1,1,1
C4-1210,10,1,1,1,1
C4-1249,5,1,1,1,1
C4-1289,5,1,1,1,1
C4-1295,5,1,1,1,1
C4-1305,8,1,1,1,1
C4-1306,7,1,1,1,1
C4-1312,17,0,1,1,1
C4-1314,7,1,1,1,1
C4-1328,5,1,1,1,1
C4-1333,9,1,1,1,1
C4-1339,8,1,1,1,1
C4-1401,7,1,1,1,1
C4-141,8,1,1,1,1
C4-1415,9,1,1,1,1
C4-1453,12,0,1,1,1
C4-1461,5,1,1,1,1
C4-1494,8,1,1,1,1
C4-1512,7,1,1,1,1
C4-1530,6,1,1,1,1
C4-1558,11,0,1,1,1
C4-1577,8,1,1,1,1
C4-1578,9,1,1,1,1
C4-1579,6,1,1,1,1
C4-1580,5,1,1,1,1
C4-1641,8,1,1,1,1
C4-1652,6,1,1,1,1
C4-1659,7,1,1,1,1
C4-168,5,1,1,1,1
C4-1689,5,1,1,1,1
C4-1691,9,1,1,1,1
C4-1692,7,1,1,1,1
C4-170,6,1,1,1,1
C4-1702,5,1,1,1,1
C4-1707,9,1,1,1,1
C4-1792,5,1,1,1,1
C4-1811,9,1,1,1,1
C4-183,5,1,1,1,1
C4-1833,10,1,1,1,1
C4-1887,13,0,1,1,1
C4-1926,7,1,1,1,1
C4-2020,7,1,1,1,1
C4-2023,5,1,1,1,1
C4-2028,5,1,1,1,1
C4-2033,10,1,1,1,1
C4-2066,11,0,1,1,1
C4-2089,23,0,0,1,1
C4-2096,6,1,1,1,1
C4-2101,5,1,1,1,1
C4-2103,11,0,1,1,1
C4-2111,9,1,1,1,1
C4-2117,22,0,0,1,1
C4-2154,9,1,1,1,1
C4-2180,5,1,1,1,1
C4-2184,5,1,1,1,1
C4-2201,13,0,1,1,1
C4-2239,9,1,1,1,1
C4-2287,7,1,1,1,1
C4-2291,8,1,1,1,1
C4-2305,6,1,1,1,1
C4-2324,33,0,0,0,1
C4-2330,11,0,1,1,1
C4-2337,26,0,0,1,1
C4-2343,8,1,1,1,1
C4-2411,5,1,1,1,1
C4-2431,10,1,1,1,1
C4-2446,8,1,1,1,1
C4-2461,12,0,1,1,1
C4-2475,6,1,1,1,1
C4-2484,7,1,1,1,1
C4-2515,6,1,1,1,1
C4-2535,5,1,1,1,1
C4-2585,7,1,1,1,1
C4-2591,6,1,1,1,1
C4-2594,7,1,1,1,1
C4-2596,6,1,1,1,1
C4-2599,7,1,1,1,1
C4-2606,10,1,1,1,1
C4-2608,6,1,1,1,1
C4-2612,7,1,1,1,1
C4-56,10,1,1,1,1
C4-594,7,1,1,1,1
C4-680,7,1,1,1,1
C4-69,7,1,1,1,1
C4-714,11,0,1,1,1
C4-733,5,1,1,1,1
C4-749,7,1,1,1,1
C4-814,7,1,1,1,1
C4-94,7,1,1,1,1
